p,k,size,order
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,65536
17,3,8,21846
17,3,8,21846
17,3,8,4370
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,21846
17,3,9,13108
17,3,9,65536
17,3,9,21846
17,3,9,21846
17,3,9,21846
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,21846
17,3,9,13108
17,3,9,65536
17,3,9,4370
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,3856
17,3,9,4370
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,13108
17,3,9,21846
17,3,9,13108
17,3,9,21846
17,3,9,4370
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,1286
17,3,9,21846
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,4370
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,4370
17,3,9,65536
17,3,9,21846
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,13108
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,13108
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,4370
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,21846
17,3,9,1286
17,3,9,21846
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,65536
17,3,9,772
17,3,9,65536
17,3,9,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,13108
17,3,10,13108
17,3,10,65536
17,3,10,772
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,13108
17,3,10,21846
17,3,10,21846
17,3,10,21846
17,3,10,21846
17,3,10,21846
17,3,10,13108
17,3,10,3856
17,3,10,65536
17,3,10,21846
17,3,10,13108
17,3,10,21846
17,3,10,13108
17,3,10,21846
17,3,10,65536
17,3,10,4370
17,3,10,1286
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,13108
17,3,10,21846
17,3,10,13108
17,3,10,13108
17,3,10,21846
17,3,10,13108
17,3,10,1286
17,3,10,65536
17,3,10,65536
17,3,10,256
17,3,10,4370
17,3,10,21846
17,3,10,65536
17,3,10,21846
17,3,10,1286
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,21846
17,3,10,1286
17,3,10,4370
17,3,10,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,4370
17,3,10,4370
17,3,10,21846
17,3,10,65536
17,3,10,65536
17,3,10,21846
17,3,10,1286
17,3,10,65536
17,3,10,21846
17,3,10,21846
17,3,10,21846
17,3,10,65536
17,3,10,13108
17,3,10,3856
17,3,10,13108
17,3,10,21846
17,3,10,65536
17,3,10,3856
17,3,10,65536
17,3,10,65536
17,3,10,65536
17,3,10,4370
17,3,10,1286
17,3,10,13108
17,3,11,772
17,3,11,65536
17,3,11,13108
17,3,11,3856
17,3,11,21846
17,3,11,65536
17,3,11,65536
